#(0)Number (1)VCC (2)galactocentric_distance(arcsec) (3)z_mag (4)g_mag (5)r_h(zband)(arcsec) (6)p_GC
92	1226	32.575	20.737	22.287	0.0236	1.00	0.022
93	1226	32.710	22.827	23.439	0.0354	1.00	0.022
94	1226	32.771	21.590	22.549	0.0431	1.00	0.022
95	1226	32.809	22.625	23.755	0.0469	1.00	0.022
96	1226	32.819	24.017	25.356	0.0185	0.99	0.022
97	1226	33.009	23.968	25.631	0.0314	0.99	0.022
98	1226	33.150	22.167	23.464	0.0261	1.00	0.022
99	1226	33.561	21.449	22.902	0.0270	1.00	0.022
100	1226	33.727	22.274	23.793	0.0170	0.97	0.022
101	1226	33.893	24.054	25.501	0.0477	0.86	0.022
102	1226	34.048	23.850	25.543	0.0382	0.97	0.022
103	1226	34.130	20.262	21.176	0.0378	1.00	0.022
104	1226	34.695	21.703	22.776	0.0416	1.00	0.022
105	1226	34.764	23.991	24.609	0.0281	0.99	0.022
106	1226	35.040	23.037	24.650	0.1090	0.90	0.022
107	1226	35.101	23.201	24.506	0.0258	0.99	0.022
108	1226	35.427	21.942	22.906	0.0337	1.00	0.022
109	1226	35.443	20.714	22.192	0.0370	1.00	0.022
110	1226	35.648	23.160	25.024	0.0755	0.96	0.022
111	1226	35.809	23.330	23.860	0.0350	0.99	0.022
112	1226	35.903	21.582	22.580	0.0512	1.00	0.022
113	1226	35.942	23.921	24.974	0.0213	0.99	0.022
114	1226	36.046	22.637	23.480	0.0492	0.84	0.022
115	1226	36.261	23.489	24.175	0.0348	0.97	0.022
116	1226	36.406	21.811	22.787	0.0453	1.00	0.022
117	1226	36.450	23.623	24.993	0.0850	0.53	0.022
118	1226	36.582	24.031	24.863	0.0113	0.99	0.022
119	1226	37.086	22.046	23.137	0.0476	1.00	0.022
120	1226	37.131	23.484	24.949	0.0700	0.89	0.022
121	1226	37.189	22.033	23.425	0.0268	1.00	0.022
122	1226	37.223	23.115	23.959	0.0235	1.00	0.022
123	1226	37.274	22.548	23.935	0.0236	1.00	0.022
124	1226	37.577	21.912	23.521	0.0401	1.00	0.022
125	1226	37.875	23.757	25.018	0.0488	0.93	0.022
126	1226	38.046	22.233	23.193	0.0281	1.00	0.022
127	1226	38.126	22.442	23.830	0.0134	1.00	0.022
128	1226	38.213	23.389	24.635	0.0268	0.99	0.022
129	1226	38.488	23.037	24.696	0.0576	0.98	0.022
130	1226	38.596	21.464	23.074	0.0180	1.00	0.022
131	1226	38.747	22.844	23.800	0.0235	1.00	0.022
132	1226	38.782	22.920	24.251	0.0185	1.00	0.022
133	1226	38.794	21.738	23.227	0.0227	1.00	0.022
134	1226	38.823	24.275	25.476	0.0348	0.99	0.022
135	1226	38.887	21.441	22.715	0.0362	1.00	0.022
136	1226	39.006	22.435	23.939	0.0294	1.00	0.022
137	1226	39.033	22.785	23.649	0.0330	1.00	0.022
138	1226	39.186	22.502	24.005	0.0385	1.00	0.022
139	1226	39.739	23.676	24.787	0.0335	0.98	0.022
140	1226	39.893	21.968	23.190	0.0302	1.00	0.022
141	1226	39.956	23.784	24.847	0.0355	0.98	0.022
142	1226	40.031	23.221	23.757	0.0125	0.91	0.022
143	1226	40.053	20.760	21.643	0.0445	1.00	0.022
144	1226	40.066	22.879	24.210	0.0320	1.00	0.022
145	1226	40.229	23.201	24.116	0.0189	0.99	0.022
146	1226	40.539	24.231	25.965	0.0524	0.93	0.022
147	1226	40.572	21.105	22.342	0.0315	1.00	0.022
148	1226	40.986	23.542	25.100	0.0279	0.99	0.022
149	1226	41.008	21.884	23.529	0.0335	1.00	0.022
150	1226	41.432	23.156	24.451	0.0281	1.00	0.022
151	1226	41.587	22.282	23.595	0.0339	1.00	0.022
152	1226	41.595	23.400	24.190	0.0299	0.99	0.022
153	1226	41.834	20.832	21.727	0.0469	1.00	0.022
154	1226	41.845	20.551	21.614	0.0328	1.00	0.022
155	1226	41.953	21.120	22.595	0.0288	1.00	0.022
156	1226	42.325	22.257	23.611	0.0266	1.00	0.022
157	1226	42.373	23.438	24.821	0.0478	0.99	0.022
158	1226	43.061	21.761	23.356	0.0392	1.00	0.022
159	1226	43.128	22.082	23.421	0.0275	1.00	0.022
160	1226	43.577	22.198	23.420	0.0254	1.00	0.022
161	1226	43.591	23.871	25.217	0.0585	0.82	0.022
162	1226	43.660	20.129	21.014	0.0604	0.98	0.022
163	1226	43.693	23.981	25.119	0.0262	0.98	0.022
164	1226	43.837	24.351	25.036	0.0092	0.94	0.022
165	1226	43.947	22.106	23.558	0.0405	1.00	0.022
166	1226	43.979	20.417	21.614	0.0271	1.00	0.022
167	1226	43.985	21.362	22.369	0.0442	1.00	0.022
168	1226	44.154	23.390	24.385	0.0314	0.99	0.022
169	1226	44.360	22.773	23.582	0.0251	1.00	0.022
170	1226	44.454	22.653	24.012	0.0336	1.00	0.022
171	1226	44.563	22.398	23.864	0.0291	1.00	0.022
172	1226	44.588	23.483	24.919	0.0257	0.99	0.022
173	1226	45.171	21.931	23.022	0.0329	1.00	0.022
174	1226	45.324	23.316	24.564	0.0303	0.99	0.022
175	1226	45.558	23.260	24.748	0.0248	0.99	0.022
176	1226	45.601	23.146	24.697	0.0426	0.99	0.022
177	1226	45.722	20.501	21.851	0.0323	1.00	0.022
178	1226	46.102	23.921	25.237	0.0252	0.97	0.022
179	1226	46.159	23.679	24.504	0.0353	0.99	0.022
180	1226	46.277	22.941	24.524	0.0229	1.00	0.022
181	1226	46.374	20.654	22.021	0.0262	1.00	0.022
182	1226	46.394	24.086	25.729	0.0209	0.99	0.022
183	1226	46.518	21.540	22.587	0.0267	1.00	0.022
184	1226	46.557	21.624	23.096	0.0371	1.00	0.022
185	1226	46.681	23.120	24.168	0.0396	0.99	0.022
186	1226	46.939	23.880	24.871	0.0445	0.98	0.022
187	1226	46.965	21.963	23.333	0.0287	1.00	0.022
188	1226	47.066	21.991	23.118	0.0306	1.00	0.022
189	1226	47.374	21.326	22.361	0.0355	1.00	0.022
190	1226	47.497	24.205	25.858	0.0652	0.76	0.022
191	1226	47.605	21.387	22.967	0.0460	1.00	0.022
192	1226	47.773	21.147	22.005	0.0356	1.00	0.022
193	1226	47.801	21.517	22.329	0.0749	1.00	0.022
194	1226	47.802	22.075	23.499	0.0304	1.00	0.022
