#0)model 1)rv 2)Rgc 3)Z 4)N(x10^5) 5)t_merge(Myr) 6)id1 7)id2 8)m1 9)m2 10)spin1 11)spin2 12)v_kick 13)v_esc 14)channel 15)id_merger 16)m_merger 17)spin_merger 18)a_final (AU) 19)e_final
# merger channels: 1)ejected 2)in-cluster binary 3) in cluster 3-body 4) in cluster 4 body 5) in cluster 2-body GW capture
149 2.0 20.0 0.002 1.0 172.767669356 10955479.0 12150136.0 40.8564 41.0911 0.0 0.0 1.64921 157.576 2 10955479.0 77.9919 0.686456 0.00551672 0.593221
149 2.0 20.0 0.002 1.0 173.55626635 12068745.0 12616167.0 41.0127 79.0553 0.0 0.68646 1364.74 166.5 2 12068745.0 114.917 0.65196 0.00593943 0.16351
149 2.0 20.0 0.002 1.0 175.569826981 10986718.0 11026565.0 41.6215 40.6797 0.0 0.0 6.58523 163.393 4 10986720.0 78.3294 0.686389 0.000250006 0.625019
149 2.0 20.0 0.002 1.0 176.122320096 10863072.0 11265811.0 41.2491 41.2618 0.0 0.0 0.0884917 161.632 2 10863072.0 78.5281 0.68646 0.00204149 0.0204428
149 2.0 20.0 0.002 1.0 176.849825658 10422323.0 10737874.0 23.9017 39.0793 0.0 0.0 125.239 163.341 2 10422323.0 60.2346 0.654343 0.0025274 0.0242208
149 2.0 20.0 0.002 1.0 178.75891302 10117969.0 12325124.0 32.3926 28.8513 0.0 0.0 33.096 129.725 2 10117969.0 58.3045 0.68463 0.00338723 0.0761535
149 2.0 20.0 0.002 1.0 184.538849591 2619627.0 8217147.0 79.8905 79.1807 0.686459 0.68645 1120.33 146.143 2 2619627.0 153.467 0.521133 0.0104072 0.360398
149 2.0 20.0 0.002 1.0 185.132741223 5454882.0 10195604.0 13.6968 14.0055 0.0 0.0 6.41167 148.924 2 5454882.0 26.3654 0.686392 0.00165833 0.000346015
149 2.0 20.0 0.002 1.0 191.713921481 10929613.0 12520103.0 41.4296 41.0064 0.0 0.0 2.95545 162.274 2 10929613.0 78.457 0.686446 0.00566982 0.15535
149 2.0 20.0 0.002 1.0 195.005332584 5422133.0 12130220.0 41.7616 41.0012 0.0 0.0 5.28786 137.04 2 5422133.0 78.7684 0.686414 0.00455154 0.169042
149 2.0 20.0 0.002 1.0 195.069993744 10872259.0 11955496.0 42.0582 40.3205 0.0 0.0 12.1332 166.419 2 10872259.0 78.4053 0.686217 0.00269466 0.0464267
149 2.0 20.0 0.002 1.0 200.545867746 6614826.0 10929613.0 41.3158 78.457 0.0 0.686446 1272.34 166.043 2 6614826.0 113.81 0.720305 0.00795387 0.437945
149 2.0 20.0 0.002 1.0 211.159471055 12946167.0 10955479.0 35.8768 77.9919 0.0 0.686456 580.158 172.548 3 10955481.0 110.658 0.433776 0.000329719 0.706135
149 2.0 20.0 0.002 1.0 212.989979907 3842607.0 10391798.0 13.2187 14.4613 0.0 0.0 25.7512 153.814 2 3842607.0 26.3485 0.685357 0.00228844 0.000562573
149 2.0 20.0 0.002 1.0 218.783472225 10918130.0 11315129.0 42.464 40.5891 0.0 0.0 12.9828 162.701 2 10918130.0 79.0476 0.686181 0.00506992 0.09774
149 2.0 20.0 0.002 1.0 218.873410419 10872259.0 11587995.0 78.4053 20.567 0.686217 0.0 833.951 133.404 2 10872259.0 95.7837 0.647968 0.00414906 0.0302491
149 2.0 20.0 0.002 1.0 220.13267886 3808236.0 10082841.0 13.4816 14.4539 0.0 0.0 19.9933 158.212 2 3808236.0 26.5899 0.685797 0.00191875 0.000411156
149 2.0 20.0 0.002 1.0 221.601939479 5443600.0 10625955.0 41.5554 62.5882 0.0 0.658522 354.026 165.289 2 5443600.0 100.506 0.530856 0.00369913 0.0693929
149 2.0 20.0 0.002 1.0 223.832672027 9335681.0 10451645.0 12.418 14.8939 0.0 0.0 51.4544 72.3494 2 9335681.0 26.012 0.681957 0.00169186 0.000363154
149 2.0 20.0 0.002 1.0 224.58970415 10532434.0 10778958.0 35.0872 41.2754 0.0 0.0 46.1275 169.141 2 10532434.0 72.7177 0.682863 0.0842508 0.991232
149 2.0 20.0 0.002 1.0 225.816919812 2438071.0 12651488.0 41.3849 41.2732 0.0 0.0 0.777989 167.609 2 2438071.0 78.6682 0.686459 0.00392073 0.166886
149 2.0 20.0 0.002 1.0 226.253892378 3426001.0 10576055.0 48.4406 40.2398 0.663791 0.0 888.501 166.399 2 3426001.0 84.1986 0.703263 0.00607018 0.276732
149 2.0 20.0 0.002 1.0 231.293759421 11626126.0 13115008.0 42.4521 41.504 0.0 0.0 6.49845 137.077 2 11626126.0 79.9044 0.68639 0.00207086 0.142554
149 2.0 20.0 0.002 1.0 232.128700332 11626126.0 12733938.0 79.9044 40.5 0.68639 0.0 873.549 166.099 2 11626126.0 115.087 0.668131 0.00606752 0.570554
149 2.0 20.0 0.002 1.0 236.330148144 582196.0 4022922.0 15.7406 42.0658 0.0 0.0 175.031 161.843 2 582196.0 55.9176 0.568366 0.138665 0.992938
149 2.0 20.0 0.002 1.0 236.64948151 3172900.0 13119631.0 23.3582 33.8379 0.0 0.0 99.507 111.36 2 3172900.0 54.591 0.667979 0.00395286 0.378454
149 2.0 20.0 0.002 1.0 239.63545273 2438071.0 11728514.0 78.6682 40.9669 0.686459 0.0 282.927 133.801 2 2438071.0 116.148 0.434672 0.00392972 0.0438532
149 2.0 20.0 0.002 1.0 240.108120941 15026519.0 16558771.0 85.4633 41.3986 0.684149 0.0 814.368 137.091 2 15026519.0 121.648 0.638498 0.00595485 0.467901
149 2.0 20.0 0.002 1.0 241.897587518 6199528.0 11062564.0 17.0244 40.8951 0.0 0.0 171.901 152.54 2 6199528.0 55.876 0.590468 0.00617144 0.708619
149 2.0 20.0 0.002 1.0 244.767044481 11123254.0 11327555.0 41.5033 37.363 0.0 0.0 30.078 162.399 2 11123254.0 75.0773 0.684951 0.00384313 0.0813698
149 2.0 20.0 0.002 1.0 244.787024998 10149257.0 11293844.0 19.8957 40.2801 0.0 0.0 158.121 163.929 2 10149257.0 57.8121 0.622309 0.00353916 0.598167
149 2.0 20.0 0.002 1.0 248.316469199 11630985.0 17096955.0 41.1132 41.152 0.0 0.0 0.271498 143.137 2 11630985.0 78.2943 0.68646 0.00486955 0.272905
149 2.0 20.0 0.002 1.0 249.052779432 10327796.0 10503242.0 56.1208 39.4708 0.686204 0.0 745.594 168.585 5 10327796.0 90.9011 0.694049 11.8277 0.999945
149 2.0 20.0 0.002 1.0 255.916602263 10497300.0 10918130.0 70.2194 79.0476 0.679288 0.686181 438.156 89.2683 2 10497300.0 143.438 0.583103 0.00461472 0.0349854
149 2.0 20.0 0.002 1.0 259.458878386 5422133.0 6935138.0 78.7684 41.3487 0.686414 0.0 410.829 172.62 2 5422133.0 113.134 0.79265 0.00426911 0.170025
149 2.0 20.0 0.002 1.0 263.0899365 20900.0 10619301.0 21.1299 40.2615 0.680871 0.0 318.526 165.893 2 20900.0 58.9221 0.627143 0.00341773 0.0859004
